,,,,,
,,,,,
,SYMPTOMS,PREDICTED DISEASE,ANALGESICS,TREATMENT,DIET
,"sensitivity to light, loss of appetite, facial pain and pressure, dizziness, blurred vision.",Headache,"aspirin, ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve).","Resting in a quiet dark room, administering a hot or cold compress, gentle head massages, and over-the-counter medication may help soothe a headache.

","Stay hydrated, Avoid trigger foods: such as processed meats, chocolate, caffeine, alcohol, and aged cheese. Increase magnesium intake. Reduce salt intake."
,"Redness, itchiness, a feeling of irritation, discharge or tearing from one or both eyes.",Sore eyes,"artificial tears,Antihistamine eyedrops",use a cleaning the eyelids with a wet cloth and applying cold or warm compresses,"eat fruits and vegetables that are rich in antioxidants such as vitamin C, vitamin E, and beta-carotene, Eat foods rich in omega-3 fatty acids such as salmon, tuna, and sardines"
,"Pain or burning sensation during urination
Frequent urge to urinate
Strong-smelling urine
Cloudy or dark urine
Lower abdominal pain or discomfort",Urinary tract infection (UTI),"ibuprofen, acetaminophen, antibiotics","Urinate frequently. Going to the bathroom frequently can help clear the bacteria from your bladder and urethra.
Use heat compress. Gentle heat can reduce abdominal pain and discomfort.","Drinking plenty of water to help flush bacteria out of the urinary tract, Avoiding alcohol and caffeine, which can irritate the bladder. Eating foods rich in vitamin C, such as citrus fruits"
,"Cramping or pain in the lower abdomen, lower back pain that radiates down the legs, nausea, vomiting, diarrhoea, fatigue, headaches and weakness.",Menstrual cramps,aspirin or paracetamol ,Use of heating pads or abdominal massage can help soothe the pain ,"Increase intake of omega-3 fatty acids such as salmon and mackerel, as well as nuts and seeds. Reduce intake of processed foods. Increase intake of magnesium-rich foods such as leafy greens, nuts, and whole grains. caffeine and alcohol may increase inflammation and worsen menstrual cramps"
,"Stiffness in the joints that make movements difficult. This may be accompanied by pain, swelling and inflammation in the joints.",Stiff joint," ibuprofen, naproxen, Acetaminophen, and aspirin. Creams and ointments containing menthol or capsaicin ","Hot or cold compress may help relieving symptoms of stiffness, pain and swelling.","Foods that are high in anti-inflammatory compounds, such as fatty fish like salmon, walnuts, flaxseeds, and leafy green vegetables. Vitamin D and Calcium-rich foods such as dairy products, fortified cereals and juices, and fatty fish."
,Difficulty swallowing and the feeling of something stuck in your throat,Gastro-oesophageal reflux (GERD)," acetaminophen (Tylenol), ibuprofen  ",Do not lie down immediately after a meal. Elevate the level of your head when you lie down.,"Avoid trigger foods such as spicy or acidic foods, chocolate, coffee, and alcohol."
,"Fatigue and weakness,Weight gain,Menstrual irregularities,Elevated cholesterol levels, Constipation, Muscle and joint pain",Hypothyroidism,"Acetaminophen (Tylenol), Motrin and naproxen (Aleve)",lifestyle changes may help manage hypothyroidism symptoms. These may include maintaining a healthy weight and exercising regularly,"fruits, whole grains, lean proteins, and healthy fats.Limit goitrogenic foods such as broccoli, cauliflower, and cabbage, as well as soy products. Get enough iodine. Avoid processed foods"
,"Difficulty passing stools,discomfort or pain in the abdomen, feeling of fullness or tightness in the abdomen, discomfort or pain in the rectum, which is the lower part of the digestive tract where stool is stored before being expelled. constipation may feel like they haven't completely emptied their bowels.",Constipation,"morphine, codeine, oxycodone, and hydrocodone,ibuprofen and naproxen",Regular physical activity can help stimulate bowel movements and prevent constipation,"Increase fiber intake, Drink more water"
,"A dry, sticky feeling in the mouth and throat, Difficulty speaking or swallowing, Cracked lips or corners of the mouth, A burning or tingling sensation in the mouth, Increased thirst, Bad breath, Changes in taste",Dry Mouth,"
Pilocarpine (Salagen) and cevimeline (Evoxac)",Use sugar-free gum or candy to stimulate saliva production.Use a humidifier at night to help keep the air moist.,"Avoid caffeine, alcohol, and tobacco,Increase your water intake, Diminish alcohol consumption"
,"Discolouration of the nail,thickening and distortion of the nail,brittle or crumbly nails ",Fungal nail infection,"acetaminophen, ibuprofen ",Soaking the affected nail in warm water with Epsom salts or using a topical antifungal cream. Keeping the affected nail trimmed and clean,"Lean protein, such as fish, chicken, and tofu. Limit your intake of processed and sugary foods, Drink plenty of water"
,"Dry, sensitive skin, intense itching, red or brownish-gray patches on the skin, darkening of the affected skin",Eczema,Topical creams and ointments containing corticosteroids or calcineurin inhibitors,Moisturizing regularly keeping the skin well hydrated. Oral antihistamines help relieve itching and promote sleep.,"Avoiding trigger foods, eating anti-inflammatory foods such as fatty fish, walnuts, and flaxseed, may help reduce inflammation. Staying hydrated."
,"Difficulty falling asleep, difficulty staying asleep, waking up too early and not being able to go back to sleep, difficulty concentrating or remembering things",Insomnia,"Antidepressants, sedative-hypnotics","Avoiding caffeine and alcohol, regular sleep schedule, and creating a comfortable sleep environment.","Avoiding caffeine, limiting alcohol intake."
,"Dizziness, a feeling that surroundings are spinning, loss of balance, unstediness and vomiting",Vertigo,"Antihistamines, benzodiazepines","Exercises to help improve balance, medications to manage symptoms","Stay hydrated, limit salt intake, avoide caffeine and eat regularly."
,"Pain or discomfort in the anal area, itching or irritation in the anal area, swelling or a lump around the anus, bleeding during bowel movements",Hemorrhoids,"Acetaminophen (Tylenol), ibuprofen (Advil), and aspirin.","Lifestyle changes, topical treatments and dietary changes","A diet that is high in fiber and water can help prevent constipation and promote healthy bowel movements. Fruits, vegetables, whole grains, and legumes."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"Dizziness, a feeling that surroundings are spinning, loss of balance, unstediness and vomiting",Vertigo,"Antihistamines, benzodiazepines","Exercises to help improve balance, medications to manage symptoms","Stay hydrated, limit salt intake, avoide caffeine and eat regularly."
,"Pain or discomfort in the anal area, itching or irritation in the anal area, swelling or a lump around the anus, bleeding during bowel movements",Hemorrhoids,"Acetaminophen (Tylenol), ibuprofen (Advil), and aspirin.","Lifestyle changes, topical treatments and dietary changes","A diet that is high in fiber and water can help prevent constipation and promote healthy bowel movements. Fruits, vegetables, whole grains, and legumes."
